Datum	Teplota
01.01.2019	-0,4
02.01.2019	-1,4
03.01.2019	-0,4
04.01.2019	0,7
05.01.2019	0,2
06.01.2019	1,2
07.01.2019	0
08.01.2019	1,7
09.01.2019	1,7
10.01.2019	0,1
11.01.2019	0,3
12.01.2019	-1,9
13.01.2019	0,1
14.01.2019	0,6
15.01.2019	2,7
16.01.2019	0,3
17.01.2019	2,2
18.01.2019	0,3
19.01.2019	0,3
20.01.2019	2,6
21.01.2019	0,5
22.01.2019	-1,2
23.01.2019	1,9
24.01.2019	2,4
25.01.2019	-1,5
26.01.2019	0,8
27.01.2019	0,8
28.01.2019	0,8
29.01.2019	-0,5
30.01.2019	-0,8
31.01.2019	1,4
01.02.2019	4,8
02.02.2019	10,8
03.02.2019	9,2
04.02.2019	4,6
05.02.2019	5,5
06.02.2019	3,7
07.02.2019	6,9
08.02.2019	11,9
09.02.2019	2,3
10.02.2019	7
11.02.2019	3,7
12.02.2019	6,7
13.02.2019	3,7
14.02.2019	3
15.02.2019	5
16.02.2019	8,1
17.02.2019	3,7
18.02.2019	11,7
19.02.2019	3,8
20.02.2019	10,8
21.02.2019	11,4
22.02.2019	7,3
23.02.2019	6,6
24.02.2019	7,4
25.02.2019	0,4
26.02.2019	9,8
27.02.2019	11,4
28.02.2019	11,1
01.03.2019	12,9
02.03.2019	8,6
03.03.2019	5
04.03.2019	2,1
05.03.2019	6,8
06.03.2019	1,5
07.03.2019	7,7
08.03.2019	9,8
09.03.2019	3,6
10.03.2019	9,1
11.03.2019	6,6
12.03.2019	1,9
13.03.2019	5,4
14.03.2019	5,7
15.03.2019	8,5
16.03.2019	2,8
17.03.2019	11,5
18.03.2019	5,4
19.03.2019	10,8
20.03.2019	9
21.03.2019	8
22.03.2019	6,5
23.03.2019	10,3
24.03.2019	1,7
25.03.2019	7,1
26.03.2019	13,4
27.03.2019	3,7
28.03.2019	5,3
29.03.2019	13
30.03.2019	4,1
31.03.2019	8,2
01.04.2019	8,7
02.04.2019	22,5
03.04.2019	3,8
04.04.2019	4,4
05.04.2019	1,8
06.04.2019	16,4
07.04.2019	11,1
08.04.2019	1,7
09.04.2019	10,7
10.04.2019	12
11.04.2019	7,7
12.04.2019	19,3
13.04.2019	11,5
14.04.2019	16,3
15.04.2019	21,4
16.04.2019	15
17.04.2019	7,8
18.04.2019	24,3
19.04.2019	5,8
20.04.2019	24,6
21.04.2019	9
22.04.2019	1,6
23.04.2019	13
24.04.2019	11,3
25.04.2019	24,9
26.04.2019	3,3
27.04.2019	24,3
28.04.2019	17,1
29.04.2019	8,6
30.04.2019	23,6
01.05.2019	11,8
